유형,선정년도,명품숲 명,개소,주요 수종,면적(ha),관리기관,탐방문의1,탐방문의2,특이사항,비고(차량 이용시 네이게이션상의 목적지 주소)
경영·경관형 명품숲,2017,무왕리 낙엽송숲 ,경기 양평군 지평면 무왕리 산143,낙엽송,120,북부지방산림청 수원국유림관리소,033-439-5571,,낙엽송 조림지,
경영·경관형 명품숲,2017,가리산 잣나무숲,강원 홍천군 화촌면 풍천리 산77,"잣나무, 낙엽송",3776,북부지방산림청 홍천국유림관리소,033-660-7725,,가리산 선도산림경영단지,
경영·경관형 명품숲,2017,대관령 소나무숲,강원 강릉시 성산면 어흘리 산2-1외 2필,소나무,450,동부지방산림청 강릉국유림관리소,054-630-4033,033-336-4037,1922~1928년 소나무종자 직파조림지 내 숲길 6.3km,"강릉시 성산면 어흘리 524, 평창군 대관령면 경강로 5760"
경영·경관형 명품숲,2017,청옥산 생태경영숲,경북 봉화군 소천면 고선리 산37 외 1,물푸레 외 12종,177,남부지방산림청 영주국유림관리소,054-630-4033,,2014년 아름다운 숲 전국대회 숲길부문 우수상 수상,
경영·경관형 명품숲,2017,우구치 낙엽송숲,경북 봉화군 춘양면 우구치리 산1-1 외 2,"낙엽송, 잣나무",202,남부지방산림청 영주국유림관리소,054-781-1201,,"임도에서 전망 양호, 국립백두대간수목원 인근",
경영·경관형 명품숲,2017,울진 금강송숲,"경북 울진군 금강송면 소광리 산29, 산1, 산11",소나무,3705,남부지방산림청 울진국유림관리소,043-850-0331,,"숲길탐방로 7개소 79km, 산림유전자원보호구역",
경영·경관형 명품숲,2017,음성 원통산 자작나무숲,충북 음성군 감곡면 사곡리 산57-1,자작·낙엽송 등,60.5,중부지방산림청 충주국유림관리소,043-420-0341,,"대면적 조림지, 임도 3.1km",충북 음성군 감곡면 사곡리 540(자작나무 숲 입구)
경영·경관형 명품숲,2017,죽령 옛길숲,충북 단양군 대강면 용부원리 산1-14,"낙엽송, 잣나무, 활엽수",300,중부지방산림청 단양국유림관리소,063-320-3642,,죽령옛길 연계 가능,단양군 대강면 용부원리 43-79(단양군 대강면 죽령로 2150 죽령휴게소)
경영·경관형 명품숲,2017,덕유산 리기다 백년의 숲,전북 무주군 설천면 삼공리 산109 외2,"리기다, 독일가문비, 편백, 삼나무",44,서부지방산림청 무주국유림관리소,061-470-5341,,1928~1933년 리기다 소나무 조림지,
경영·경관형 명품숲,2017,서기산 편백숲,전남 강진군 강진읍 서산리 산183,"삼나무, 편백, 리기테다소나무",55,서부지방산림청 영암국유림관리소,033-439-5542,,서기산 경제림육성단지,
경영·경관형 명품숲,2019,상안리 낙엽송숲,강원 횡성군 안흥면 상안리 산90-1,"낙엽송, 소나무",53,북부지방산림청 홍천국유림관리소,02-961-2777,,1938년 낙엽송조림지,
보전·연구형 명품숲,2017,홍릉숲,서울시 동대문구 청량리동 산1-1외 7필,"낙우송, 종비나무 등 총 2,035종",41.2,국립산림과학원,031-540-1016,,"산림과학연구 시험림, 국가산림문화자산 제1호",
보전·연구형 명품숲,2017,광릉숲,경기 포천시 소홀읍 직동리 산50 ,"전나무, 서어나무, 갈참나무 등 총 3,344종",1123,국립수목원(광릉숲보전센터),033-463-8166,,"유네스코 생물권보전지역, 국립수목원 시험림 ",
보전·연구형 명품숲,2017,점봉산 곰배령숲,강원 인제군 기린면 진동리 산71 외 1필,"참나무류, 주목, 한계령 풀 등",2369,북부지방산림청 인제국유림관리소,033-460-8036,,"산림유전자원보호구역, 국립방태산, 용대자연휴양림",
보전·연구형 명품숲,2017,방태산 아침가리숲,강원 인제군 기린면 방동리 산282-1번지 외 1필,"세잎승마, 등칡, 도깨비 부채 등",1897,북부지방산림청 인제국유림관리소,033-434-9575,,산림유전자원보호구역 추가지정 예정,
보전·연구형 명품숲,2017,계방산 운두령숲,강원 홍천군 내면 자운리 산254-1외 11필,"주목, 분비나무, 금강초롱꽃, 꽃개회나무 등",4345,"북부지방산림청 홍천국유림관리소, 동부지방산림청 평창국유림관리소",043-850-3334,033-330-4032,"산림유전자원보호구역, 국립삼봉자연휴양림",
보전·연구형 명품숲,2017,적보산 씨앗숲,충북 충주시 수안보면 수회리 산58-1 외 7필지,"가문비나무, 낙엽송, 대왕참나무, 백합나무 등",27,국립산림품종관리센터,055-370-2730,,국가 산림 조림용 채종원,충북 충주시 수안보면 수회리로 72 국립산림품종관리센터
보전·연구형 명품숲,2017,신불산 억새숲,울산 울주군 상북면 이천리 산2,"소나무, 신갈나무, 물오리나무, 억새 등",338,남부지방산림청 양산국유림관리소,054-791-1252,,"산림유전자원보호구역, 국립신불산자연휴양림인접",
보전·연구형 명품숲,2017,성인봉 원시림숲,경북 울릉군 북면 나리 산44-1 외 5필지,"우산고로쇠, 마가목, 너도밤나무 등",706,남부지방산림청 산림경영과(울릉국유림사업소),061-470-5331,,"산림유전자원보호구역(706ha), 천연기념물보호구역(원시림 18ha)",울릉근 북면 나리 80-1(등산로 입구)
보전·연구형 명품숲,2017,천관산 동백숲,전남 장흥군 관산읍 부평리 산109-1 외1,동백나무,20,서부지방산림청 영암국유림관리소,064-730-7272,,"산림유전자원보호구역, 국립천관산자연휴양림인접",
보전·연구형 명품숲,2017,사려니숲,제주 서귀포시 남원읍 한남리 산2-1외 1필,"서어나무, 삼나무, 졸참나무 등 총 440종",1203,국립산림과학원(난대아열대산림연구소),033-670-3062,,"산림과학연구 시험림, 서귀포 자연휴양림",
보전·연구형 명품숲,2019,설악산 향로봉 숲,강원 고성군 간성읍 장신리 산1-1,"물푸레, 신갈 등",1272,동부지방산림청 양양국유림관리소,033-461-9696 ,,"유네스코 생물권보전지역,산림유전자원보호구역",강원 공성군 간성읍 흘리길 15-10
휴양·복지형 명품숲,2018,원대리 자작나무숲,강원 인제군 원대리 산75-22,자작나무,6,북부지방산림청 인제국유림관리소,033-371-8135,,"편도 3.2km (왕복 6.4km) 약 3시간 소요, 연 방문객수 32만명",
휴양·복지형 명품숲,2018,함백산 하늘숲 ,강원 영월군 중동면 직동리 산1-1외 5필,"낙엽송,  전나무, 신갈 등",2771,동부지방산림청 영월·정선 국유림관리소,033-480-8533,033-560-5533,운탄고도 하늘숲길(국유임도) 32km,정선군 고한읍 함백산로 865
휴양·복지형 명품숲,2018,DMZ 펀치볼 숲,강원 양구군 해안면 오유리 산1외 242필,"물박달나무, 느릅나무, 다릅나무, 신갈나무 등",3241,북부지방산림청 민북지역국유림관리소,054-730-8131,,펀치볼 둘레길 73.2km,
